full_name,type,state,party,marker
Thomas Wynns,House,NC,Republican,NC1
John Milledge,Senate,GA,Republican,GA
Evan Alexander,House,NC,Republican,NC1
Joseph Barker,House,MA,Republican,MA7
Barnabas Bidwell,House,MA,Republican,MA
John Blake,House,NY,Republican,NY5
John Boyle,House,KY,Republican,KY2
Stephen Bradley,Senate,VT,Republican,VT
James Broom,House,DE,Federalist,DE
Peter Carleton,House,NH,Republican,NH
John Claiborne,House,VA,Republican,VA17
Daniel Clark,House,OL,,OL
Joseph Clay,House,PA,Republican,PA1
George Clinton,House,NY,Republican,NY2
Jacob Crowninshield,House,MA,Republican,MA2
Ezra Darby,House,NJ,Republican,NJ
Josiah Dean,House,MA,Republican,MA9
Daniel Durell,House,NH,Republican,NH
James Elliott,House,VT,Federalist,VT2
Jesse Franklin,Senate,NC,Republican,NC
Francis Gardner,House,NH,Republican,NH
James Garnett,House,VA,Republican,VA11
Chauncey Goodrich,Senate,CT,Federalist,CT
Andrew Gregg,Senate,PA,Republican,PA
John Harris,House,NY,Republican,NY17
John Hiester,House,PA,Republican,PA3
William Hoge,House,PA,Republican,PA1
Reuben Humphrey,House,NY,Republican,NY16
Daniel Ilsley,House,MA,Republican,MA15
George Jones,Senate,GA,Republican,GA
James Kelly,House,PA,Federalist,PA6
William Kirkpatrick,House,NY,Republican,NY15
Nehemiah Knight,House,RI,Republican,RI
Josiah Masters,House,NY,Republican,NY1
Elisha Mathewson,Senate,RI,Republican,RI
William McCreery,House,MD,Republican,MD5
Daniel Montgomery,House,PA,Republican,PA5
John Morrow,House,VA,Republican,VA2
Benjamin Parke,House,IN,,IN
Nahum Parker,Senate,NH,Republican,NH
John Pugh,House,PA,Republican,PA2
Jacob Richards,House,PA,Republican,PA1
Samuel Riker,House,NY,Republican,NY1
John Russell,House,NY,Republican,NY14
James Sloan,House,NJ,Republican,NJ
Jedediah Smith,House,NH,Republican,NH
John Smith,Senate,NY,Republican,NY
Joseph Story,House,MA,Republican,MA2
Peter Swart,House,NY,Republican,NY13
David Thomas,House,NY,Republican,NY12
Edward Tiffin,Senate,OH,Republican,OH
Abram Trigg,House,VA,Republican,VA6
James Van Alen,House,NY,Republican,NY8
Philip Van Cortlandt,House,NY,Republican,NY4
Daniel Verplanck,House,NY,Republican,NY6
Isaac Wilbour,House,RI,Republican,RI
Marmaduke Williams,House,NC,Republican,NC9
Alexander Wilson,House,VA,Republican,VA5
Nathan Wilson,House,NY,Republican,NY12
James Witherell,House,VT,Republican,VT1
Return Meigs,Senate,OH,Republican,OH
James Madison,House,VA,Republican,VA15
Joseph Allen,House,MA,Federalist,MA1
Lemuel Alston,House,SC,Republican,SC8
Joseph Anderson,Senate,TN,Republican,TN
Daniel Blaisdell,House,NH,Federalist,NH
Richard Brent,Senate,VA,Republican,VA
John Brown,House,MD,Republican,MD7
Joseph Calhoun,House,SC,Republican,SC6
Alexander Campbell,Senate,OH,Republican,OH
John Campbell,House,MD,Federalist,MD1
John Chamberlain,House,NH,Federalist,NH
William Chamberlain,House,VT,Federalist,VT3
Christopher Champlin,Senate,RI,Federalist,RI
Orchard Cook,House,MA,Republican,MA16
James Cox,House,NJ,Republican,NJ
Henry Crist,House,KY,Republican,KY3
William Denning,House,NY,,NY
Barent Gardenier,House,NY,Federalist,NY5
Gideon Gardner,House,MA,Republican,MA8
David Garland,House,VA,Republican,VA21
Obadiah German,Senate,NY,Republican,NY
Stanley Griswold,Senate,OH,Republican,OH
Nathaniel Haven,House,NH,Federalist,NH
William Helms,House,NJ,Republican,NJ
Daniel Hiester,House,PA,Republican,PA3
James Hillhouse,Senate,CT,Federalist,CT
James Holland,House,NC,Republican,NC11
Benjamin Howard,House,KY,Republican,KY5
Jonathan Hubbard,House,VT,Federalist,VT2
Robert Jenkins,House,PA,Federalist,PA3
Walter Jones,House,VA,Republican,VA8
Thomas Kenan,House,NC,Republican,NC5
Herman Knickerbocker,House,NY,Federalist,NY6
John Lambert,Senate,NJ,Republican,NJ
Michael Leib,Senate,PA,Republican,PA
Edward Livermore,House,MA,Federalist,MA3
John Love,House,VA,Republican,VA9
Matthew Lyon,House,KY,Republican,KY1
Francis Malbone,Senate,RI,Federalist,RI
Robert Marion,House,SC,Republican,SC1
Vincent Mathews,House,NY,Federalist,NY14
William McKinley,House,VA,Republican,VA1
Pleasant Miller,House,TN,Republican,TN2
Gurdon Mumford,House,NY,Republican,NY2
Roger Nelson,House,MD,Republican,MD4
Wilson Nicholas,House,VA,Republican,VA21
John Nicholson,House,NY,Republican,NY1
Benjamin Pickman,House,MA,Federalist,MA2
John Porter,House,PA,Republican,PA1
Julien Poydras,House,OL,,OL
Matthias Richards,House,PA,Republican,PA3
Jonathan Robinson,Senate,VT,Republican,VT
Benjamin Say,House,PA,Republican,PA1
John Scudder,House,NJ,Republican,NJ
Dennis Smelt,House,GA,Republican,GA
Samuel Smith,House,PA,Republican,PA11
John Stanly,House,NC,Federalist,NC4
William Stedman,House,MA,Federalist,MA11
Jacob Swoope,House,VA,Federalist,VA4
John Thompson,House,NY,Republican,NY8
Jabez Upham,House,MA,Federalist,MA1
Archibald Van Horne,House,MD,Republican,MD2
Killian Van Rensselaer,House,NY,Federalist,NY7
Robert Weakley,House,TN,Republican,TN3
Jenkin Whiteside,Senate,TN,Republican,TN
James Wilson,House,NH,Federalist,NH
Robert Witherspoon,House,SC,Republican,SC3
Charles Cutts,Senate,NH,Republican,NH
John Taylor,Senate,SC,Republican,SC
Thomas Worthington,Senate,OH,Republican,OH
Ezekiel Bacon,House,MA,Republican,MA12
John Baker,House,VA,Federalist,VA2
Josiah Bartlett,House,NH,Republican,NH
James Bayard,Senate,DE,Federalist,DE
William Blackledge,House,NC,Republican,NC4
Harmanus Bleecker,House,NY,Federalist,NY7
Thomas Blount,House,NC,Republican,NC3
Adam Boyd,House,NJ,Republican,NJ
William Butler,House,SC,Republican,SC2
Francis Carr,House,MA,Republican,MA17
Martin Chittenden,House,VT,Federalist,VT4
Howell Cobb,House,GA,Republican,GA
James Cochran,House,NC,Republican,NC9
Thomas Cooke,House,NY,Republican,NY5
William Crawford,Senate,GA,Republican,GA
Richard Cutts,House,MA,Republican,MA14
Samuel Dinsmoor,House,NH,Republican,NH
James Emott,House,NY,Federalist,NY4
Asa Fitch,House,NY,Federalist,NY6
Barzillai Gannett,House,MA,Republican,MA
William Giles,Senate,VA,Republican,VA
Nicholas Gilman,Senate,NH,Republican,NH
Edwin Gray,House,VA,Republican,VA19
Isaiah Green,House,MA,Republican,MA8
Obed Hall,House,NH,Republican,NH
John Harper,House,NH,Republican,NH
Jeremiah Howell,Senate,RI,Republican,RI
Philip Key,House,MD,Federalist,MD3
Joseph Lefever,House,PA,Republican,PA3
Robert Livingston,House,NY,Federalist,NY6
George Maxwell,House,NJ,Republican,NJ
Archibald McBryde,House,NC,Federalist,NC7
Arunah Metcalf,House,NY,Republican,NY12
James Milnor,House,PA,Federalist,PA1
Samuel Mitchill,House,NY,Republican,NY2
John Montgomery,House,MD,Republican,MD
James Morgan,House,NJ,Republican,NJ
Thomas Newbold,House,NJ,Republican,NJ
William Paulding,House,NY,Republican,NY2
Benjamin Pond,House,NY,Republican,NY8
Josiah Quincy,House,MA,Federalist,MA1
William Rodman,House,PA,Republican,PA2
Thomas Sammons,House,NY,Republican,NY9
Ebenezer Seaver,House,MA,Republican,MA13
Samuel Shaw,House,VT,Republican,VT1
John Smilie,House,PA,Republican,PA9
George Smith,House,PA,Republican,PA5
Silas Stow,House,NY,Republican,NY1
George Sullivan,House,NH,Federalist,NH
Peleg Tallman,House,MA,Republican,MA16
Uri Tracy,House,NY,Republican,NY13
Charles Turner,House,MA,Republican,MA7
James Turner,Senate,NC,Republican,NC
Pierre Van Cortlandt,House,NY,Republican,NY3
Joseph Varnum,Senate,MA,Democratic Republican,MA
Leonard White,House,MA,Federalist,MA3
